QuestionID,Difficulty_Points,Question,Keywords,Answer,Category,Language,Challenge,StarterCode,ExpectedOutput
1,15,What is object-oriented programming?,"""object-oriented programming, OOP, paradigm, objects, attributes, methods, data""",It is a programming paradigm that organizes code into objects that combine attributes (data) and methods (behavior).,oop,English,FALSE,,
2,15,What is a class in OOP?,"""class, template, blueprint, OOP, attributes, methods, objects""",It is a template or model that defines the attributes and methods that the objects created from it will have.,oop,English,FALSE,,
3,15,What is an object?,"""object, instance, class, entity, attributes, methods, OOP""","It is an instance of a class, representing an entity with specific attributes and methods.",oop,English,FALSE,,
4,15,What is an instance in OOP?,"""instance, object, class, creation, specific, OOP""",It is an object created from a specific class.,oop,English,FALSE,,
5,35,What is polymorphism in OOP?,"""polymorphism, method overriding, OOP, superclass, subclass, multiple forms""",It is the ability of different classes to respond to the same method in different ways.,oop,English,FALSE,,
6,15,What are attributes in OOP?,"""attributes, properties, characteristics, class, object, OOP""","They are the properties or characteristics that an object has, defined in the class.",oop,English,FALSE,,
7,15,What are methods in OOP?,"""methods, functions, actions, class, object, OOP""",They are the functions or actions that objects of a class can perform.,oop,English,FALSE,,
8,35,What is a constructor in OOP?,"""constructor, initialization, object, class, OOP, properties""","It is a special method that runs automatically when an object is created from a class, initializing its attributes.",oop,English,FALSE,,
9,35,What is a destructor in OOP?,"""destructor, object, class, memory, resources, OOP, free, release""","It is a special method that runs when an object is destroyed or no longer used, releasing resources.",oop,English,FALSE,,
10,35,What is method overloading in OOP?,"""method overloading, methods, parameters, OOP, multiple, signatures""",It is the ability to define multiple methods with the same name but with different parameters.,oop,English,FALSE,,
11,35,What is abstraction in OOP?,"""abstraction, hide complexity, essential features, OOP, class, interface""",It is the process of hiding complex details and showing only the essential functionality of an object or class.,oop,English,FALSE,,
12,35,What is inheritance in OOP?,"""inheritance, superclass, subclass, attributes, methods, reuse, OOP""",It is the mechanism that allows one class to acquire attributes and methods from another class,oop,English,FALSE,,
13,35,What is encapsulation in OOP?,"""encapsulation, data hiding, access control, methods, class, private, public, OOP""","It is the principle that restricts direct access to an object's attributes and methods, exposing only what is necessary.",oop,English,FALSE,,
14,35,What is a local variable?,"""local variable, function, scope, limited, block, context""","It is a variable defined within a function or block of code, accessible only within that context.",oop,English,FALSE,,
15,35,What is a global variable?,"""global variable, program, accessible, scope, outside function, persistent""","It is a variable defined outside of any function or class, accessible from any part of the program.",oop,English,FALSE,,
16,35,What is the difference between compilation and interpretation?,"""compilation, interpretation, source code, machine code, line-by-line, executable""",Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,general programming,English,FALSE,,
17,65,Explain the concept of polymorphism.,"""polymorphism, multiple forms, method overriding, superclass, subclass, OOP""","Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",general programming,English,FALSE,,
18,65,Define encapsulation and give an example.,"""encapsulation, data, methods, access control, private, public, OOP, example""","Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",general programming,English,FALSE,,
19,35,"What is an abstract class, and how is it different from an interface?","""abstract class, interface, methods, OOP, inheritance, concrete, abstract, implementation""",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,general programming,English,FALSE,,
20,65,Describe the principles of Object-Oriented Programming (OOP).,"""OOP principles, encapsulation, inheritance, polymorphism, abstraction, design, organized code""","OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",general programming,English,FALSE,,
21,15,What is the purpose of a constructor?,"""constructor, initialize, object, class, properties, state, OOP""","A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",general programming,English,FALSE,,
22,65,Explain the difference between stack and heap memory.,"""stack memory, heap memory, allocation, LIFO, dynamic, static, function calls, garbage collection""","Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection.",general programming,English,FALSE,,
23,,"What is a design pattern, and can you name a few?","""design pattern, solutions, software design, common problems, examples, Singleton, Factory, Observer""","Design patterns are solutions to common design problems. Examples: Singleton, Factory, Observer, MVC.",general programming,English,FALSE,,
24,15,"Define the term ""DRY"" in software development.","""DRY, Don't Repeat Yourself, avoid duplication, reuse code, efficiency, software development""",DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.,general programming,English,FALSE,,
25,35,What is the SOLID principle?,"""SOLID, design principles, OOP, Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion""","SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.",general programming,English,FALSE,,
26,35,What is the difference between an array and a linked list?,"""array, linked list, fixed size, dynamic size, contiguous memory, nodes, references, elements, access""","An array has fixed size and stores elements in contiguous memory; a linked list consists of nodes with data and references, allowing dynamic size.",data structures,English,FALSE,,
27,35,Explain the time complexity of an algorithm.,"""time complexity, algorithm, execution time, input size, Big O notation, efficiency, analysis""","Time complexity measures the time an algorithm takes relative to its input size, expressed in Big O notation.",data structures,English,FALSE,,
28,35,Describe the difference between a binary search tree and a hash table.,"""binary search tree, hash table, hierarchical, key-value, structure, ordered, unordered, access time""","A binary search tree is hierarchical, maintaining order; a hash table maps keys to values for fast retrieval, without maintaining order.",data structures,English,FALSE,,
29,35,What is a linked list and how does it work?,"""linked list, nodes, references, dynamic memory, sequential access, head, next node""","A linked list is a series of nodes each containing data and a reference to the next node, allowing dynamic memory allocation and efficient insertions/deletions.",data structures,English,FALSE,,
30,35,Explain the concept of recursion.,"""recursion, function, calls itself, base case, subproblems, repeated, termination""","Recursion is when a function calls itself to solve subproblems, with a base case to terminate recursion.",data structures,English,FALSE,,
31,35,"What is Big O notation, and why is it important?","""Big O notation, time complexity, space complexity, algorithm, efficiency, growth rate, performance""","Big O notation describes the upper bound of algorithm time complexity, important for comparing efficiency and growth rates.",data structures,English,FALSE,,
32,35,How do you perform a binary search on a sorted array?,"""binary search, sorted array, divide, middle element, comparison, target, efficiency, O(log n)""","Binary search divides the search interval in half, repeatedly comparing the middle element to the target.",data structures,English,FALSE,,
33,65,What is dynamic programming?,"""dynamic programming, optimization, subproblems, overlapping subproblems, memoization, recursive, efficient""","Dynamic programming solves complex problems by dividing them into smaller subproblems, avoiding redundant calculations.",data structures,English,FALSE,,
34,15,What is a data structure?,"""data structure, organization, storage, access, manipulation, efficiency, memory""",t is a way of organizing and storing data in a system so that it can be accessed and manipulated efficiently.,data structures,English,FALSE,,
35,15,What is an array?,"""array, elements, contiguous memory, fixed size, index, collection, access""",It is a data structure that stores a collection of elements of the same type in contiguous memory locations.,data structures,English,FALSE,,
36,15,What is a linked list?,"""linked list, nodes, references, sequential, dynamic size, memory, head, next""",It is a data structure in which each element (node) contains a value and a reference to the next node in the sequence.,data structures,English,FALSE,,
37,15,What is a stack?,"""stack, LIFO, last in first out, push, pop, elements, memory, function calls""","It is a data structure that follows the LIFO (Last In, First Out) principle, where the last element inserted is the first to be removed.",data structures,English,FALSE,,
38,15,What is a queue?,"""queue, FIFO, first in first out, enqueue, dequeue, elements, order""","It is a data structure that follows the FIFO (First In, First Out) principle, where the first element inserted is the first to be removed.",data structures,English,FALSE,,
39,15,What is a binary tree?,"""binary tree, nodes, hierarchical, left child, right child, root, traversal""","It is a hierarchical data structure where each node has at most two children, referred to as the ""left child"" and ""right child.""",data structures,English,FALSE,,
40,15,What is a graph?,"""graph, vertices, edges, nodes, connections, relationships, structure""",It is a data structure that consists of a set of nodes (vertices) and a set of edges (connections) between the nodes.,data structures,English,FALSE,,
41,15,What is a hash or hash table?,"""hash, hash table, key-value pairs, hash function, fast access, O(1), collision, lookup""",It is a data structure that stores key-value pairs and uses a hash function to compute the location of each element.,data structures,English,FALSE,,
42,15,What is a doubly linked list?,"""doubly linked list, nodes, references, next, previous, dynamic size, memory""",It is a variation of the linked list where each node has a reference to both the next node and the previous node.,data structures,English,FALSE,,
43,35,What is the time complexity of an algorithm?,"""time complexity, algorithm, execution time, input size, Big O notation, efficiency""","It is a measure of how long an algorithm takes to run as a function of the size of the input, typically expressed in Big O notation.",data structures,English,FALSE,,
44,35,¿Cuál es la diferencia entre compilación e interpretación?,"""compilación, interpretación, ejecutable, código fuente, máquina, línea por línea, traducción""",La compilación traduce el código fuente en código máquina creando un archivo ejecutable. La interpretación traduce y ejecuta el código línea por línea sin un ejecutable.,data structures,Spanish,FALSE,,
45,35,¿Qué es una clase abstracta y cómo se diferencia de una interfaz?,"""clase abstracta, interfaz, métodos abstractos, métodos concretos, herencia, implementación, diferencia""",Una clase abstracta no se puede instanciar y puede tener métodos abstractos y concretos. Una interfaz solo tiene las firmas de los métodos sin implementaciones.,data structures,Spanish,FALSE,,
46,65,Describe los principios de la programación orientada a objetos (POO).,"""POO, principios, encapsulamiento, herencia, polimorfismo, abstracción, diseño, clases, atributos, métodos""","Los principios de POO incluyen encapsulamiento, herencia, polimorfismo y abstracción, promoviendo código organizado y mantenible.",data structures,Spanish,FALSE,,
47,65,Explica la diferencia entre la memoria de pila (stack) y la memoria dinámica (heap).,"""pila, stack, memoria dinámica, heap, local, dinámica, LIFO, asignación, recolección de basura""","La memoria de pila almacena variables locales y llamadas a funciones; la memoria dinámica es para asignación dinámica. La pila opera en LIFO, la memoria dinámica se gestiona manualmente o por recolección de basura.",data structures,Spanish,FALSE,,
48,35,¿Qué es un patrón de diseño y puedes nombrar algunos?,"""patrón de diseño, soluciones, problemas comunes, software, ejemplos, Singleton, Factory, Observer""","Los patrones de diseño son soluciones a problemas comunes de diseño. Ejemplos: Singleton, Factory, Observer, MVC.",general programming,Spanish,FALSE,,
49,15,"Define el término ""DRY"" en desarrollo de software.","""DRY, Don't Repeat Yourself, evitar, duplicación, reutilización, código, eficiencia""",DRY (Don't repeat yoursef) promueve evitar la duplicación de código reutilizando el código existente.,general programming,Spanish,FALSE,,
50,35,¿Qué es el principio SOLID?,"""SOLID, principios, diseño, responsabilidad única, abierto/cerrado, sustitución de Liskov, inversión de dependencias, patrón""","SOLID representa cinco principios de diseño para POO: Responsabilidad Única, Abierto/Cerrado, Sustitución de Liskov, Segregación de Interfaces, Inversión de Dependencias.",general programming,Spanish,FALSE,,
51,35,¿Cuál es la diferencia entre un arreglo y una lista enlazada?,"""arreglo, lista enlazada, tamaño fijo, dinámico, memoria contigua, nodos, referencias, acceso, dinámica""","Un arreglo tiene tamaño fijo y almacena elementos en memoria contigua; una lista enlazada consiste en nodos con datos y referencias, permitiendo tamaño dinámico.",data structures,Spanish,FALSE,,
52,35,Explica la complejidad temporal de un algoritmo.,"""complejidad temporal, algoritmo, tiempo, ejecución, entrada, notación Big O, eficiencia""","La complejidad temporal mide el tiempo que tarda un algoritmo en función del tamaño de la entrada, expresado en notación Big O.",algorithms,Spanish,FALSE,,
53,35,Describe la diferencia entre un árbol binario de búsqueda y una tabla hash.,"""árbol binario, búsqueda, tabla hash, jerárquico, clave, valor, estructura, orden, acceso rápido""","Un árbol binario de búsqueda es jerárquico, manteniendo un orden; una tabla hash asigna claves a valores para una recuperación rápida, sin mantener orden.",data structures,Spanish,FALSE,,
54,35,Explica el concepto de recursión.,"""recursión, función, llamarse a sí misma, subproblemas, caso base, terminación, llamarse a si mismo""","La recursión es cuando una función se llama a sí misma para resolver subproblemas, con un caso base para terminar la recursión.",algorithms,Spanish,FALSE,,
55,35,¿Qué es la notación Big O y por qué es importante?,"""notación Big O, complejidad, tiempo, algoritmo, eficiencia, crecimiento, análisis""","La notación Big O describe el límite superior de la complejidad temporal de un algoritmo, importante para comparar la eficiencia y las tasas de crecimiento.",algorithms,Spanish,FALSE,,
56,35,¿Cómo realizas una búsqueda binaria en un arreglo ordenado?,"""búsqueda binaria, arreglo ordenado, dividir, mitad, comparación, objetivo""","La búsqueda binaria divide el intervalo de búsqueda a la mitad, comparando repetidamente el elemento del medio con el objetivo.",data structures,Spanish,FALSE,,
57,65,¿Qué es la programación dinámica?,"""programación dinámica, subproblemas, optimización, memoria, evitar redundancia, solución""","La programación dinámica resuelve problemas complejos dividiéndolos en subproblemas más pequeños, evitando cálculos redundantes.",data structures,Spanish,FALSE,,
58,15,¿Qué es una estructura de datos?,"""estructura de datos, organización, almacenamiento, acceso, manipulación, eficiente""",Es una manera de organizar y almacenar datos en un sistema de forma que se pueda acceder y manipular de manera eficiente.,data structures,Spanish,FALSE,,
59,15,¿Qué es un array (arreglo)?,"""array, arreglo, elementos, tipo, contiguo, memoria, índice, colección""",Es una estructura de datos que almacena una colección de elementos del mismo tipo en posiciones contiguas de memoria.,data structures,Spanish,FALSE,,
60,15,¿Qué es una lista enlazada?,"""lista enlazada, nodos, referencias, secuencia, datos, dinámico, memoria""",Es una estructura de datos en la que cada elemento (nodo) contiene un valor y una referencia al siguiente nodo en la secuencia.,data structures,Spanish,FALSE,,
61,15,¿Qué es una pila (stack)?,"""pila, stack, LIFO, último, primero, elementos, inserción, eliminación""","Es una estructura de datos que sigue el principio LIFO (Last In, First Out), donde el último elemento insertado es el primero en salir.",data structures,Spanish,FALSE,,
62,15,¿Qué es una cola (queue)?,"""cola, queue, FIFO, primero, último, elementos, inserción, eliminación""","Es una estructura de datos que sigue el principio FIFO (First In, First Out), donde el primer elemento insertado es el primero en salir.",data structures,Spanish,FALSE,,
63,15,¿Qué es un árbol binario?,"""árbol binario, jerárquico, nodos, hijos, izquierdo, derecho, raíz, descendencia""","Es una estructura de datos jerárquica en la que cada nodo tiene como máximo dos hijos, denominados ""hijo izquierdo"" y ""hijo derecho"".",data structures,Spanish,FALSE,,
64,15,¿Qué es un grafo?,"""grafo, nodos, vértices, aristas, conexiones, relaciones, estructura""",Es una estructura de datos que consiste en un conjunto de nodos (vértices) y un conjunto de aristas (conexiones) entre los nodos.,data structures,Spanish,FALSE,,
65,35,¿Qué es un hash o tabla hash?,"""hash, tabla hash, clave, valor, función hash, búsqueda, rápida, acceso""",Es una estructura de datos que almacena pares clave-valor y utiliza una función hash para calcular la ubicación de cada elemento.,data structures,Spanish,FALSE,,
66,35,¿Qué es una lista doblemente enlazada?,"""lista doblemente enlazada, nodos, referencias, siguiente, anterior, dinámico, dinámica""",Es una variación de la lista enlazada donde cada nodo tiene una referencia tanto al siguiente nodo como al anterior.,data structures,Spanish,FALSE,,
67,65,¿Qué es la complejidad temporal de un algoritmo?,"""complejidad temporal, algoritmo, tiempo, ejecución, notación Big O, eficiencia""","Es una medida de cuánto tiempo toma un algoritmo en función del tamaño de la entrada, comúnmente expresada en notación Big O.",data structures,Spanish,FALSE,,
68,15,¿Qué es la programación orientada a objetos?,"""paradigma, objetos, atributos, métodos""",Es un paradigma de programación que organiza el código en objetos que combinan atributos (datos) y métodos (comportamiento).,oop,Spanish,FALSE,,
69,15,¿Qué es una clase en POO?,"""clase, plantilla, modelo, POO, atributos, métodos""",Es una plantilla o modelo que define los atributos y métodos que los objetos creados a partir de ella tendrán.,oop,Spanish,FALSE,,
70,15,¿Qué es un objeto?,"""objeto, instancia, clase, entidad, atributos, método""","Es una instancia de una clase, que representa una entidad con atributos y métodos específicos.",oop,Spanish,FALSE,,
71,15,¿Qué es una instancia en POO?,"""instancia, objeto, clase, POO, creación, entidad""",Es un objeto creado a partir de una clase específica.,oop,Spanish,FALSE,,
72,35,¿Qué es el polimorfismo en POO?,"""polimorfismo, POO, sobrecarga, método, clases, superclase, herencia""",Es la capacidad de diferentes clases de responder a un mismo método de manera distinta.,oop,Spanish,FALSE,,
73,15,¿Qué son los atributos en POO?,"""atributos, propiedades, características, clase, objeto, POO""","Son las propiedades o características que tiene un objeto, definidos en la clase.",oop,Spanish,FALSE,,
74,15,¿Qué son los métodos en POO?,"""métodos, funciones, acciones, clase, objeto, POO""",Son las funciones o acciones que pueden realizar los objetos de una clase.,oop,Spanish,FALSE,,
